,date_applied,location,industry,platform,company_id,position_id,current_status_id,furthest_status_id
0,2023-09-19,,,,0,0,0,0
1,2023-09-19,,,,1,1,0,0
2,2023-09-19,,,,2,2,0,0
3,2023-09-19,,,,3,2,0,0
4,2023-09-20,,,,4,2,1,1
5,2023-09-20,,,,5,1,1,1
6,2023-09-20,,,,6,2,1,1
7,2023-09-20,,,,7,1,1,1
8,2023-09-20,,,,8,3,1,1
9,2023-09-20,,,,9,2,0,0
10,2023-09-20,,,,10,1,1,1
11,2023-09-20,,,,11,2,1,1
12,2023-09-23,,,,12,2,0,0
13,2023-09-25,Remote,Agricultural,Company Website,13,0,1,1
14,2023-09-25,Remote,Venture Capital,Handshake,14,1,1,1
15,2023-09-25,"Orange, CT",Energy,Company Website,15,2,2,2
16,2023-09-25,"Chicago, IL",Banking,Workday,16,2,1,1
17,2023-09-25,"Mechanicsburg, PA 
",Tech,Company Website,17,2,1,1
18,2023-09-26,"San Diego, CA",Defense,Company Website,18,1,0,0
19,2023-09-26,"Mountain View, CA",Tech,Company Website,19,4,1,1
20,2023-09-26,"Raleigh, NC",Insurance,Workday,20,2,1,1
21,2023-09-26,Remote,Healthcare,Workday,21,1,0,0
22,2023-09-26,"Greenwood Village, CO",Internet,Company Website,22,2,1,1
23,2023-09-27,Remote,Healthcare,Company Website,23,2,0,0
24,2023-09-27,"Remote or Beavercreek, OH",Defense,Company Website,24,0,1,1
25,2023-09-27,"Minneapolis, MN",Retail,Company Website,25,2,1,1
26,2023-09-27,Remote,Healthcare,Company Website,26,1,1,1
27,2023-09-27,"Raleigh, NC",Networks,Indeed quick aply,27,1,1,1
28,2023-09-27,"Alburquerque, NM",Research,Company Website,28,5,1,1
29,2023-09-27,"South San Fransisco, CA",Logistics,Wellfound,29,2,1,1
30,2023-09-28,"Redwood City, CA",Gaming,Company Website,30,2,0,0
31,2023-09-28,"Austin, TX",Grocery,Workday,31,2,0,0
32,2023-09-28,Remote,Agricultural,Company Website,13,0,1,1
33,2023-09-28,Remote,Agricultural,Company Website,13,0,1,1
34,2023-09-28,"Kennesaw, GA",Manufacturing,Company Website,32,2,0,0
35,2023-09-28,"Keene, NH",Grocery,Workday,33,2,1,1
36,2023-09-28,"Milpitas, CA",Electronics,,34,1,1,1
37,2023-10-01,"New York, NY",Finance,Workday,35,1,1,1
38,2023-10-01,"Johnston, RI",Commercial Property Insurance,Company Website,36,2,1,1
39,2023-10-01,"Redmond, WA",Gaming,Company Website,37,2,1,1
